record_id,Node,Link,DateTime,qkdQber,qkdKeyRate,qkdVisibility,qkdLaserPower,neCpuLoad,neMemUsage,neTemperature,attenuation,humidity,device_mode,snmp_status,log_message,event_type,root_cause,sop_action,operator_action,anomaly,missing_data
1,NodeD,Link1,2025-06-01 00:00:00,0.026672189285247817,1347.469545350979,0.9669769336394249,1.1603814468262332,47,65,40.0,14.64458759930088,66,secure,OK,System OK,normal,,monitor,,0,0
2,NodeD,Link3,2025-06-01 00:02:00,0.020408206586296905,993.1907942287589,0.99,1.2704925824654751,26,36,55.116348216445864,15.310644296044838,55,secure,OK,System OK,normal,,monitor,,0,0
3,NodeD,Link2,2025-06-01 00:04:00,0.020832914924333274,1481.74458500838,0.9476634398426964,0.988144890666872,47,36,46.43671286970967,14.351412953767223,60,secure,OK,System OK,normal,,monitor,,0,0
4,NodeB,Link2,2025-06-01 00:06:00,0.022559672459940425,1105.4684008766235,0.99,1.1255782050229397,23,51,44.38717792386947,16.516032625797276,51,secure,OK,System OK,normal,,monitor,,0,0
5,NodeA,Link3,2025-06-01 00:08:00,0.022362021766572693,1121.5047252961301,0.9705386720081094,1.137001856116139,46,49,40.0,14.988307026409165,59,secure,OK,System OK,normal,,monitor,,0,0
6,NodeD,Link3,2025-06-01 00:10:00,0.020594907069073513,1381.3430289131863,0.9781602080917661,1.1871174305657737,20,42,54.51448544725185,15.389052678409712,77,secure,OK,System OK,normal,,monitor,,0,0
7,NodeB,Link2,2025-06-01 00:12:00,0.02104463953962545,902.8265877403426,0.9769586896437098,1.2689324430088316,20,48,45.171552484954525,17.164848265663032,50,diag,OK,System OK,normal,,monitor,,0,0
8,NodeD,Link2,2025-06-01 00:14:00,0.02769038685924987,1402.254975072952,0.9563598154405041,1.0768925558017657,22,63,52.06872253601573,15.239319891405902,59,secure,OK,System OK,normal,,monitor,,0,0
9,NodeC,Link2,2025-06-01 00:16:00,0.020995805271963933,1399.205513226586,0.95652379488769,1.2495947723332652,48,50,44.55198016553429,17.328786853879784,59,secure,OK,System OK,normal,,monitor,,0,0
10,NodeC,Link2,2025-06-01 00:18:00,0.029593260476075474,1147.6630743118599,0.9540773725228928,1.1008092743227154,48,33,41.92343174079756,17.294951483083214,69,secure,OK,System OK,normal,,monitor,,0,0
11,NodeD,Link1,2025-06-01 00:20:00,0.013557982519973248,1425.6334079245403,0.9594258027553432,0.9678183343201028,42,46,44.661227875319625,15.793591958981132,70,secure,OK,System OK,normal,,monitor,,0,0
12,NodeA,Link2,2025-06-01 00:22:00,0.019917364882160737,1218.5490354755905,0.9490071778542077,1.3728024033679946,29,80,50.3886196197313,18.227929871552575,52,secure,OK,System OK,normal,,monitor,,0,0
